"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-15",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-16",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-17",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-18",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-19",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-20",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-21",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-22",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-23",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-24",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-25",,,,
"US1NESB0013","SCOTTSBLUFF 1.3 ENE, NE US","2023-04-15",,,,
"US1NESB0013","SCOTTSBLUFF 1.3 ENE, NE US","2023-04-16",,,,
"US1NESB0013","SCOTTSBLUFF 1.3 ENE, NE US","2023-04-17",,,,
"US1NESB0013","SCOTTSBLUFF 1.3 ENE, NE US","2023-04-18",,,,
"US1NESB0013","SCOTTSBLUFF 1.3 ENE, NE US","2023-04-19",,,,
"US1NESB0013","SCOTTSBLUFF 1.3 ENE, NE US","2023-04-20",,,,
"US1NESB0013","SCOTTSBLUFF 1.3 ENE, NE US","2023-04-21",,,,
"US1NESB0013","SCOTTSBLUFF 1.3 ENE, NE US","2023-04-22",,,,
"US1NESB0013","SCOTTSBLUFF 1.3 ENE, NE US","2023-04-23",,,,
"US1NESB0013","SCOTTSBLUFF 1.3 ENE, NE US","2023-04-24",,,,
"US1NESB0013","SCOTTSBLUFF 1.3 ENE, NE US","2023-04-25",,,,
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2023-04-15","41","54","28",
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2023-04-16","40","63","25",
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2023-04-17","54","78","32",
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2023-04-18","56","77","41",
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2023-04-19","46","60","33",
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2023-04-20","38","55","25",
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2023-04-21","39","52","26",
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2023-04-22","36","49","28",
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2023-04-23","41","62","21",
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2023-04-24","49","71","29",
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2023-04-25","49","54","39",
"USC00257667","SCOTTSBLUFF 1 E, NE US","2023-04-15",,"41","34","34"
"USC00257667","SCOTTSBLUFF 1 E, NE US","2023-04-16",,"50","26","31"
"USC00257667","SCOTTSBLUFF 1 E, NE US","2023-04-17",,"62","31","54"
"USC00257667","SCOTTSBLUFF 1 E, NE US","2023-04-18",,"75","32","45"
"USC00257667","SCOTTSBLUFF 1 E, NE US","2023-04-19",,"75","39","45"
"USC00257667","SCOTTSBLUFF 1 E, NE US","2023-04-20",,"57","26","44"
"USC00257667","SCOTTSBLUFF 1 E, NE US","2023-04-21",,"51","26","39"
"USC00257667","SCOTTSBLUFF 1 E, NE US","2023-04-22",,"49","27","27"
"USC00257667","SCOTTSBLUFF 1 E, NE US","2023-04-23",,"46","23","27"
"USC00257667","SCOTTSBLUFF 1 E, NE US","2023-04-24",,"60","27","46"
"USC00257667","SCOTTSBLUFF 1 E, NE US","2023-04-25",,"70","38","45"
"US10scot039","SCOTTSBLUFF 1.5 NE, NE US","2023-04-15",,,,
"US10scot039","SCOTTSBLUFF 1.5 NE, NE US","2023-04-16",,,,
"US10scot039","SCOTTSBLUFF 1.5 NE, NE US","2023-04-17",,,,
"US10scot039","SCOTTSBLUFF 1.5 NE, NE US","2023-04-18",,,,
"US10scot039","SCOTTSBLUFF 1.5 NE, NE US","2023-04-19",,,,
"US10scot039","SCOTTSBLUFF 1.5 NE, NE US","2023-04-20",,,,
"US10scot039","SCOTTSBLUFF 1.5 NE, NE US","2023-04-21",,,,
"US10scot039","SCOTTSBLUFF 1.5 NE, NE US","2023-04-22",,,,
"US10scot039","SCOTTSBLUFF 1.5 NE, NE US","2023-04-23",,,,
"US10scot039","SCOTTSBLUFF 1.5 NE, NE US","2023-04-24",,,,
"US10scot039","SCOTTSBLUFF 1.5 NE, NE US","2023-04-25",,,,
